Date,Name,Year,Letterboxd URI
2022-09-12,Last Night in Soho,2021,https://boxd.it/lbJC
2022-09-12,The Skeleton Twins,2014,https://boxd.it/7bCS
2022-09-12,Lost in Translation,2003,https://boxd.it/2b0E
2022-09-12,Palo Alto,2013,https://boxd.it/5Nzy
2022-09-12,Lady Bird,2017,https://boxd.it/dGNE
2022-09-12,Spring Breakers,2012,https://boxd.it/421s
2022-09-12,The Bling Ring,2013,https://boxd.it/3lPY
2022-09-12,Obvious Child,2014,https://boxd.it/7i3A
2022-09-12,Life After Beth,2014,https://boxd.it/7bqM
2022-09-12,How to Talk to Girls at Parties,2017,https://boxd.it/bo80
2022-09-12,mid90s,2018,https://boxd.it/fxIa
2022-09-12,The Last Black Man in San Francisco,2019,https://boxd.it/iWAw
2022-09-12,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk
2022-09-12,Confessions of a Shopaholic,2009,https://boxd.it/1E9e
2022-09-12,Footloose,2011,https://boxd.it/2cnk
2022-09-12,13 Going on 30,2004,https://boxd.it/1X6e
2022-09-12,Nine to Five,1980,https://boxd.it/1F2S
2022-09-12,Bend It Like Beckham,2002,https://boxd.it/2am0
2022-09-12,Ford v Ferrari,2019,https://boxd.it/ce74
2022-09-12,Le Mans,1971,https://boxd.it/22lo
2022-09-12,Little Women,1933,https://boxd.it/12RC
2022-09-12,Creature from the Black Lagoon,1954,https://boxd.it/1UXk
2022-09-12,Palm Springs,2020,https://boxd.it/lCXQ
2022-09-12,Hustlers,2019,https://boxd.it/jIBM
2022-09-12,True Grit,2010,https://boxd.it/Sog
2022-09-12,White Noise,2022,https://boxd.it/rXgK
2022-09-12,Fruitvale Station,2013,https://boxd.it/4VRy
2022-09-12,World of Tomorrow Episode Two: The Burden of Other People's Thoughts,2017,https://boxd.it/gU8m
2022-09-12,Kicking and Screaming,1995,https://boxd.it/1pHK
2022-09-12,World of Tomorrow,2015,https://boxd.it/9Gr6
2022-09-12,Harold and Maude,1971,https://boxd.it/2axM
2022-09-12,Frances Ha,2012,https://boxd.it/41Xg
2022-09-12,Blindspotting,2018,https://boxd.it/hDMw
2022-09-12,Milk,2008,https://boxd.it/1WZC
2022-09-12,The Bridge,2006,https://boxd.it/28lO
2022-09-12,At Berkeley,2013,https://boxd.it/6iDw
2022-09-12,The Institute,2012,https://boxd.it/4ZQ0
2022-09-12,The Inventor: Out for Blood in Silicon Valley,2019,https://boxd.it/kLa2
